Which of these selection statement test only for equality?,A. If,B. Switch,C. If & Switch,D. None of the above
Which of these are selection statements in Java?,A. if(),B. for(),C. continue,D. break
Which of the following loops will execute the body of loop even when condition controlling the loop is initially false?,A. do-while,B. while,C. for,D. None of the above
Which of these jump statements can skip processing remainder of code in its body for a particular iteration,A. break,B. return,C. exit,D. continue
Which of these statement is incorrect?,A. switch statement is more efficient than a set of nested ifs,B. two case constants in the same switch can have identical values,C. switch statement can only test for equality,D. it is possible to create a nested switch statements
Which of the following control expression are valid for an if statement?,A. an integer expression,B. a boolean expression,C. either A or B,D. neither A or B
What is a part of a switch statement that will execute if there are no values that matched the given choices?,A. case,B. break,C. default,D. None of the above
What is a java keyword used in switch statements that causes immediate exit or that terminates the switch statement?,A. case,B. break,C. default,D. None of the above
Which one is not a valid jump statement?,A. return,B. goto,C. continue,D. break
Which of the following loop construct that will always be executed once?,A. for,B. while,C. do-while,D. switch
