Which company Originally Invented Java?,A. Microsoft,B. Sun Micro Systems,C. Google,D. Facebook
When was Java released?,A. 1994,B. 1996,C. 1995,D. 2000
Who owns Java?,A. Sun Microsystems,B. Google,C. Microsoft,D. Oracle
Which one of the following is not a Java feature?,A. Object-oriented,B. Use of pointers,C. Portable,D. Dynamic and Extensible
What is the extension of java code files?,A. .java,B. .js,C. .py,D. .class
Who was the core designer of Java?,A. James Gosling,B. Mike Sheridan,C. Patrick Naughton,D. Graydon Hoare
Which is not a primitive data type in Java?,A. Integer,B. Float,C. Boolean,D. String
"Which component is used to compile, debug and execute the java program?",A. JRE,B. JIT,C. JVM,D. JDK
JAR stands for,A. Java Archive Runner,B. Java Application Resource,C. Java Application Runner,D. None of the above
JDK stands for,A. Java Deployment Kit,B. Javascript Developer Kit,C. Java Development Kit,D. Javascript Deployment Kit
